,,Tampa Bay (TB),DST30,7,,,3#
,,Blake Jarwin,TE44,8,DAL,,3#
,,J'Mon Moore,WR121,11,GB,,3#
,,Matt Bryant,K26,,FA,,3#
,,Jay Ajayi,RB115,,FA,,3#
,,Cameron Meredith,WR122,10,NE,,3#
,,Chad Beebe,WR123,12,MIN,,3#
,,Tim Patrick,WR124,10,DEN,,3#
,,Jake Butt,TE45,10,DEN,,3#
,,Karan Higdon,RB116,10,HOU,,3#
,,Josh Oliver,TE46,10,JAC,,3#
,,Jesse James,TE47,5,DET,,3#
,,Jace Sternberger,TE48,11,GB,,3#
,,Kendrick Bourne,WR125,4,SF,,3#
,,Cairo Santos,K27,7,TB,,3#
,,Marcus Murphy,RB117,6,BUF,,3#
,,Teddy Bridgewater,QB40,9,NO,,3#
,,Cody Latimer,WR126,11,NYG,,3#
,,Dawson Knox,TE49,6,BUF,,3#
,,DeAndre Washington,RB118,6,OAK,,3#
,,Chris Moore,WR127,8,BAL,,3#
,,Nick Mullens,QB41,4,SF,,3#
,,Will Grier,QB42,7,CAR,,3#
,,Travis Homer,RB119,11,SEA,,3#
,,Ryan Switzer,WR128,7,PIT,,3#
,,Kelvin Harmon,WR129,10,WAS,,3#
,,Kyle Juszczyk,RB120,4,SF,,3#
,,Adam Shaheen,TE50,6,CHI,,3#
,,Tyler Higbee,TE51,9,LAR,,3#
,,Dustin Hopkins,K28,10,WAS,,4#
,,Jakeem Grant,WR130,5,MIA,,4#
,,Chester Rogers,WR131,6,IND,,4#
,,Luke Willson,TE52,6,OAK,,4#
,,Cincinnati (CIN),DST31,9,,,4#
,,Maurice Harris,WR132,,FA,,4#
,,Tyler Kroft,TE53,6,BUF,,4#
,,Elijah Holyfield,RB121,7,CAR,,4#
,,Boston Scott,RB122,10,PHI,,4#
,,C.J. Prosise,RB123,11,SEA,,4#
,,Laquon Treadwell,WR133,12,MIN,,4#
,,J.D. McKissic,RB124,11,SEA,,4#
,,Eddy Pineiro,K29,6,CHI,,4#
,,Gary Jennings,WR134,11,SEA,,4#
,,Dontrelle Inman,WR135,12,LAC,,4#
,,Josh Ferguson,RB125,10,HOU,,4#
,,Colt McCoy,QB43,10,WAS,,4#
,,Damion Willis,WR136,9,CIN,,4#
,,Jordan Matthews,WR137,4,SF,,4#
,,Oakland (OAK),DST32,6,,,4#
,,Cody Parkey,K30,,FA,,4#
,,Javorius Allen,RB126,,FA,,4#
,,Alex Barnes,RB127,11,TEN,,4#
,,Tyrod Taylor,QB44,12,LAC,,4#
,,Riley Ridley,WR138,6,CHI,,4#
,,Raheem Mostert,RB128,4,SF,,4#
,,Devine Ozigbo,RB129,9,NO,,4#
,,Alex Collins,RB130,,FA,,4#
,,Darius Slayton,WR139,11,NYG,,4#
,,LeGarrette Blount,RB131,,FA,,4#
,,Zane Gonzalez,K31,12,ARI,,4#
,,Matt Gay,K32,7,TB,,4#
,,Darius Jackson,RB132,8,DAL,,4#
,,Kahale Warring,TE54,10,HOU,,4#
,,Robert Griffin,QB45,8,BAL,,4#
,,Brett Hundley,QB46,12,ARI,,4#
,,Randy Bullock,K33,9,CIN,,4#
,,Greg Dortch,WR140,4,NYJ,,4#
,,Buddy Howell,RB133,10,HOU,,4#
,,Jarius Wright,WR141,7,CAR,,4#
,,Kaare Vedvik,K34,12,MIN,,4#
,,Austin Seferian-Jenkins,TE55,,FA,,4#
,,Austin Seibert,K35,7,CLE,,4#
,,Corey Grant,RB134,,FA,,4#
,,Emmanuel Butler,WR142,9,NO,,4#
,,Ryan Finley,QB47,9,CIN,,4#
,,Allen Hurns,WR143,5,MIA,,4#
,,CJ Ham,RB135,12,MIN,,4#
,,Alex Erickson,WR144,9,CIN,,4#
,,Jacob Hollister,TE56,11,SEA,,4#
,,J.J. Nelson,WR145,6,OAK,,4#
,,Chandler Catanzaro,K36,,FA,,4#
,,Mo Alie-Cox,TE57,6,IND,,4#
,,Dwayne Washington,RB136,9,NO,,4#
,,Jacquizz Rodgers,RB137,9,NO,,4#
,,Jeff Heuerman,TE58,10,DEN,,4#
,,AJ McCarron,QB48,10,HOU,,4#
,,Demetrius Harris,TE59,7,CLE,,4#
,,Samaje Perine,RB138,10,WAS,,4#
,,Foster Moreau,TE60,6,OAK,,4#
,,Isaiah McKenzie,WR146,6,BUF,,4#
,,Tavon Austin,WR147,8,DAL,,4#
,,Josh Hill,TE61,9,NO,,4#
,,Josh Malone,WR148,9,CIN,,4#
,,Chris Ivory,RB139,,FA,,4#
,,Paul Perkins,RB140,11,NYG,,4#
,,Jeremy McNichols,RB141,11,TEN,,4#
,,D'Ernest Johnson,RB142,7,CLE,,4#
,,Chase Daniel,QB49,6,CHI,,4#
,,Jazz Ferguson,WR149,11,SEA,,4#
,,Thomas Rawls,RB143,10,JAC,,4#
,,T.J. Logan,RB144,12,ARI,,4#
,,Elijhaa Penny,RB145,11,NYG,,4#
,,Mason Rudolph,QB50,7,PIT,,4#
,,Eli Rogers,WR150,7,PIT,,4#
,,Taylor Bertolet,K37,4,NYJ,,4#
,,Dez Bryant,WR151,,FA,,4#
,,Torrey Smith,WR152,7,CAR,,4#
,,DeShone Kizer,QB51,11,GB,,4#
,,James Develin,RB146,10,NE,,4#
,,Detrez Newsome,RB147,12,LAC,,4#
,,Dwayne Allen,TE62,5,MIA,,4#
,,Pierre Garcon,WR153,,FA,,4#
,,David Fluellen,RB148,11,TEN,,4#
,,Kevin White,WR154,,FA,,4#
,,Jeremy Hill,RB149,,FA,,4#
,,Nick O'Leary,TE63,5,MIA,,4#
,,Rhett Ellison,TE64,11,NYG,,4#
,,Charcandrick West,RB150,6,IND,,4#
,,Brandon Powell,WR155,5,DET,,4#
,,Justin Hardy,WR156,9,ATL,,4#
,,Chad Kelly,QB52,6,IND,,4#
,,Jason Sanders,K38,5,MIA,,4#
,,Seth Roberts,WR157,8,BAL,,4#
,,Matt Barkley,QB53,6,BUF,,4#
,,Kenjon Barner,RB151,9,ATL,,4#
,,Scott Miller,WR158,7,TB,,4#
,,Maxx Williams,TE65,12,ARI,,4#
,,Benny Cunningham,RB152,,FA,,4#
,,Jordan Akins,TE66,10,HOU,,4#
,,Kenneth Farrow,RB153,5,MIA,,5#
,,Zach Line,RB154,9,NO,,5#
,,Byron Pringle,WR159,12,KC,,5#
,,Blake Bell,TE67,12,KC,,5#
,,Jason Croom,TE68,6,BUF,,5#
,,Andy Janovich,RB155,10,DEN,,5#
,,Trevon Wesco,TE69,4,NYJ,,5#
,,Noah Brown,WR160,8,DAL,,5#
,,Cody Core,WR161,9,CIN,,5#
,,Dylan Cantrell,WR162,12,LAC,,5#
,,Nate Sudfeld,QB54,10,PHI,,5#
,,Nick Boyle,TE70,8,BAL,,5#
,,DeAndre Carter,WR163,10,HOU,,5#
,,Russell Shepard,WR164,11,NYG,,5#
,,Brian Hoyer,QB55,10,NE,,5#
,,Deontay Burnett,WR165,4,NYJ,,5#
,,Taquan Mizzell,RB156,6,CHI,,5#
,,Anthony Sherman,RB157,12,KC,,5#
,,Richie James,WR166,4,SF,,5#
,,Roc Thomas,RB158,,FA,,5#
,,Tajae Sharpe,WR167,11,TEN,,5#
,,Alex Armah,RB159,7,CAR,,5#
,,Taylor Heinicke,QB56,7,CAR,,5#
,,Mack Hollins,WR168,10,PHI,,5#
,,Luke Stocker,TE71,9,ATL,,5#
